A,AA,AMZN,AAPL
135.910004,74.040001,3130.209961,172.789993
135.149994,77.839996,3162.01001,172.550003
130.25,76.470001,3093.050049,168.880005
132.050003,78.199997,3052.030029,167.300003
130.490005,74.089996,3003.949951,164.320007
126.0,75.32,2896.540039,160.070007
128.149994,73.300003,3027.159912,162.740005
133.729996,77.849998,3075.77002,164.850006
130.360001,75.339996,3071.26001,165.119995
131.929993,79.779999,3022.840088,163.199997
133.160004,82.559998,3041.050049,166.559998
137.169998,82.889999,2957.969971,166.229996
133.889999,90.660004,2912.820068,163.169998
130.339996,85.400002,2749.060059,159.300003
129.320007,82.370003,2720.290039,157.440002
133.259995,79.519997,2785.580078,162.949997
134.330002,82.940002,2936.350098,158.520004
130.309998,79.040001,2910.48999,154.729996
,73.5,,
